src_id,dst_id,weight,shared_controller_cnt
0,2319,1.0,1
96,136,1.0,1
96,169,1.0,1
96,183,1.0,1
96,187,1.0,1
96,191,1.0,1
96,820,1.0,1
96,852,1.0,1
96,861,1.0,1
96,887,1.0,1
96,959,1.0,1
96,1038,1.0,1
96,1192,1.0,1
96,1201,1.0,1
96,2192,1.0,1
96,2208,1.0,1
96,2212,1.0,1
96,2241,1.0,1
96,2297,1.0,1
96,2308,1.0,1
96,2313,1.0,1
96,2315,1.0,1
96,2348,1.0,1
96,2353,1.0,1
96,2467,1.0,1
125,1178,1.0,1
136,96,1.0,1
136,169,1.0,1
136,183,2.0,2
136,187,1.0,1
136,191,1.0,1
136,311,1.0,1
136,820,1.0,1
136,852,1.0,1
136,861,1.0,1
136,887,1.0,1
136,959,1.0,1
136,1038,1.0,1
136,1192,1.0,1
136,1201,1.0,1
136,2192,1.0,1
136,2208,1.0,1
136,2212,1.0,1
136,2241,1.0,1
136,2297,1.0,1
136,2308,1.0,1
136,2313,1.0,1
136,2315,1.0,1
136,2348,1.0,1
136,2353,1.0,1
136,2467,1.0,1
169,96,1.0,1
169,136,1.0,1
169,183,1.0,1
169,187,1.0,1
169,191,1.0,1
169,820,1.0,1
169,852,1.0,1
169,861,1.0,1
169,887,1.0,1
169,959,1.0,1
169,1038,1.0,1
169,1192,1.0,1
169,1201,1.0,1
169,2192,1.0,1
169,2208,1.0,1
169,2212,1.0,1
169,2241,1.0,1
169,2297,1.0,1
169,2308,1.0,1
169,2313,1.0,1
169,2315,1.0,1
169,2348,1.0,1
169,2353,1.0,1
169,2467,1.0,1
183,96,1.0,1
183,136,2.0,2
183,169,1.0,1
183,187,1.0,1
183,191,1.0,1
183,311,1.0,1
183,820,1.0,1
183,852,1.0,1
183,861,1.0,1
183,887,1.0,1
183,959,1.0,1
183,1038,1.0,1
183,1192,1.0,1
183,1201,1.0,1
183,2192,1.0,1
183,2208,1.0,1
183,2212,1.0,1
183,2241,1.0,1
183,2297,1.0,1
183,2308,1.0,1
183,2313,1.0,1
183,2315,1.0,1
183,2348,1.0,1
183,2353,1.0,1
183,2467,1.0,1
187,96,1.0,1
187,136,1.0,1
187,169,1.0,1
187,183,1.0,1
187,191,1.0,1
187,820,1.0,1
187,852,1.0,1
187,861,2.0,2
187,887,1.0,1
187,959,1.0,1
187,1038,1.0,1
187,1192,1.0,1
187,1201,1.0,1
187,2192,1.0,1
187,2208,1.0,1
187,2212,1.0,1
187,2241,1.0,1
187,2297,1.0,1
187,2308,1.0,1
187,2313,1.0,1
187,2315,1.0,1
187,2348,1.0,1
187,2353,1.0,1
187,2467,1.0,1
188,947,4.0,4
188,2234,4.0,4
191,96,1.0,1
191,136,1.0,1
191,169,1.0,1
191,183,1.0,1
191,187,1.0,1
191,820,1.0,1
191,852,1.0,1
191,861,1.0,1
191,887,1.0,1
191,959,1.0,1
191,1038,1.0,1
191,1192,1.0,1
191,1201,1.0,1
191,2192,1.0,1
191,2208,1.0,1
191,2212,1.0,1
191,2241,1.0,1
191,2297,1.0,1
191,2308,1.0,1
191,2313,1.0,1
191,2315,1.0,1
191,2348,1.0,1
191,2353,1.0,1
191,2467,1.0,1
229,445,1.0,1
233,2247,1.0,1
247,2745,4.0,4
281,1034,1.0,1
310,923,3.0,3
311,136,1.0,1
311,183,1.0,1
375,2590,1.0,1
410,887,1.0,1
445,229,1.0,1
484,1060,1.0,1
522,1030,1.0,1
786,1246,1.0,1
820,96,1.0,1
820,136,1.0,1
820,169,1.0,1
820,183,1.0,1
820,187,1.0,1
820,191,1.0,1
820,852,1.0,1
820,861,1.0,1
820,887,1.0,1
820,959,1.0,1
820,1038,1.0,1
820,1192,1.0,1
820,1201,1.0,1
820,2192,1.0,1
820,2208,1.0,1
820,2212,1.0,1
820,2241,1.0,1
820,2297,1.0,1
820,2308,1.0,1
820,2313,1.0,1
820,2315,1.0,1
820,2348,1.0,1
820,2353,1.0,1
820,2467,1.0,1
827,2307,1.0,1
832,1043,1.0,1
835,2736,1.0,1
843,1032,1.0,1
852,96,1.0,1
852,136,1.0,1
852,169,1.0,1
852,183,1.0,1
852,187,1.0,1
852,191,1.0,1
852,820,1.0,1
852,861,1.0,1
852,887,1.0,1
852,959,1.0,1
852,1038,1.0,1
852,1192,1.0,1
852,1201,1.0,1
852,2192,1.0,1
852,2208,1.0,1
852,2212,1.0,1
852,2241,1.0,1
852,2297,1.0,1
852,2308,1.0,1
852,2313,1.0,1
852,2315,1.0,1
852,2348,1.0,1
852,2353,1.0,1
852,2467,1.0,1
861,96,1.0,1
861,136,1.0,1
861,169,1.0,1
861,183,1.0,1
861,187,2.0,2
861,191,1.0,1
861,820,1.0,1
861,852,1.0,1
861,887,1.0,1
861,959,1.0,1
861,1038,1.0,1
861,1192,1.0,1
861,1201,1.0,1
861,2192,1.0,1
861,2208,1.0,1
861,2212,1.0,1
861,2241,1.0,1
861,2297,1.0,1
861,2308,1.0,1
861,2313,1.0,1
861,2315,1.0,1
861,2348,1.0,1
861,2353,1.0,1
861,2467,1.0,1
872,2544,1.0,1
887,96,1.0,1
887,136,1.0,1
887,169,1.0,1
887,183,1.0,1
887,187,1.0,1
887,191,1.0,1
887,410,1.0,1
887,820,1.0,1
887,852,1.0,1
887,861,1.0,1
887,959,1.0,1
887,1038,1.0,1
887,1192,1.0,1
887,1201,1.0,1
887,2192,1.0,1
887,2208,1.0,1
887,2212,1.0,1
887,2241,1.0,1
887,2297,1.0,1
887,2308,1.0,1
887,2313,1.0,1
887,2315,1.0,1
887,2348,1.0,1
887,2353,1.0,1
887,2467,1.0,1
908,952,1.0,1
923,310,3.0,3
947,188,4.0,4
947,2234,4.0,4
952,908,1.0,1
959,96,1.0,1
959,136,1.0,1
959,169,1.0,1
959,183,1.0,1
959,187,1.0,1
959,191,1.0,1
959,820,1.0,1
959,852,1.0,1
959,861,1.0,1
959,887,1.0,1
959,1038,2.0,2
959,1192,1.0,1
959,1201,1.0,1
959,2192,1.0,1
959,2208,1.0,1
959,2212,1.0,1
959,2241,1.0,1
959,2297,1.0,1
959,2308,1.0,1
959,2313,1.0,1
959,2315,1.0,1
959,2348,1.0,1
959,2353,1.0,1
959,2467,1.0,1
973,2351,1.0,1
