src_id,dst_id,weight,equity_change_link_cnt
127,2337,1.9643112344262046,1
153,834,6.85301243330475,3
173,2197,0.714419315835485,1
192,2356,1.6094379124341003,1
218,2275,3.7612001156935624,1
235,3388,1.9572739077056285,1
280,1505,1.589235205116581,1
314,2231,1.4134230285081433,1
481,556,1.8484548129046001,1
515,2484,0.8415671856782186,1
556,481,1.8484548129046001,1
834,153,6.85301243330475,3
841,2343,2.1972245773362196,2
915,1424,2.834389123145228,1
1059,2172,2.9831534913471307,1
1059,2194,1.8578592709325787,1
1091,1610,1.9526019943448853,1
1124,2221,2.784393767689544,1
1424,915,2.834389123145228,1
1453,1487,2.19720235486708,1
1487,1453,2.19720235486708,1
1505,280,1.589235205116581,1
1610,1091,1.9526019943448853,1
2172,1059,2.9831534913471307,1
2182,2240,1.1662709371419244,1
2194,1059,1.8578592709325787,1
2195,3176,2.5352828571130672,1
2197,173,0.714419315835485,1
2221,1124,2.784393767689544,1
2231,314,1.4134230285081433,1
2240,2182,1.1662709371419244,1
2275,218,3.7612001156935624,1
2337,127,1.9643112344262046,1
2343,841,2.1972245773362196,2
2356,192,1.6094379124341003,1
2484,515,0.8415671856782186,1
3176,2195,2.5352828571130672,1
3388,235,1.9572739077056285,1
