src_id,dst_id,weight,equity_link_cnt
1,796,2.2106,3
1,3210,1.0,1
50,852,1.5856,2
94,96,1.6357,4
96,94,1.6357,4
96,2331,2.322,3
117,3900,0.01,1
121,1865,0.4583,3
141,3317,0.02,2
153,1695,0.01,1
212,2589,0.2501,3
265,667,0.01,1
508,2420,0.1255,5
529,986,0.5641,3
667,265,0.01,1
796,1,2.2106,3
817,2315,1.5870000000000002,2
852,50,1.5856,2
881,2194,1.9935,3
986,529,0.5641,3
1094,1328,0.0429,1
1124,2221,0.04,4
1328,1094,0.0429,1
1686,2197,0.02,2
1695,153,0.01,1
1791,3870,0.4582,1
1799,2301,0.01,1
1865,121,0.4583,3
2146,2148,0.5538,6
2148,2146,0.5538,6
2158,2301,0.02,2
2161,2209,0.3426,4
2194,881,1.9935,3
2197,1686,0.02,2
2202,3396,0.02,2
2209,2161,0.3426,4
2221,1124,0.04,4
2260,3094,0.02,2
2301,1799,0.01,1
2301,2158,0.02,2
2301,3624,1.0,1
2315,817,1.5870000000000002,2
2331,96,2.322,3
2336,3061,0.01,1
2420,508,0.1255,5
2589,212,0.2501,3
3061,2336,0.01,1
3094,2260,0.02,2
3210,1,1.0,1
3317,141,0.02,2
3396,2202,0.02,2
3624,2301,1.0,1
3870,1791,0.4582,1
3900,117,0.01,1
