src_id,dst_id,weight,equity_change_link_cnt
108,3335,1.952970877625887,1
141,3317,1.791759469228055,1
153,834,0.9821159248943259,1
190,2643,2.839166178959747,1
235,3388,1.7967470107390942,1
265,667,2.1972245773362196,2
272,2231,1.4562867329399256,1
280,1505,3.8918202981106265,1
529,986,2.4060438013622756,1
667,265,2.1972245773362196,2
670,3788,2.0412203288596382,1
687,899,6.0014148779611505,2
806,1508,1.9139771019523042,1
834,153,0.9821159248943259,1
836,2172,2.081938421878423,1
841,2343,2.976549454137217,3
899,687,6.0014148779611505,2
986,529,2.4060438013622756,1
1505,280,3.8918202981106265,1
1508,806,1.9139771019523042,1
2172,836,2.081938421878423,1
2172,3407,1.4816045409242156,1
2182,2443,3.34109345759245,1
2195,3176,8.516793111394898,2
2225,2952,1.7900914121273581,1
2231,272,1.4562867329399256,1
2301,3452,4.61512051684126,1
2329,3181,5.0106352940962555,2
2329,3636,1.76806427571652,1
2332,3407,1.4816045409242156,1
2332,3649,1.252762968495368,1
2343,841,2.976549454137217,3
2443,2182,3.34109345759245,1
2643,190,2.839166178959747,1
2783,3707,3.9318256327243257,1
2952,2225,1.7900914121273581,1
3176,2195,8.516793111394898,2
3181,2329,5.0106352940962555,2
3317,141,1.791759469228055,1
3335,108,1.952970877625887,1
3388,235,1.7967470107390942,1
3407,2172,1.4816045409242156,1
3407,2332,1.4816045409242156,1
3452,2301,4.61512051684126,1
3636,2329,1.76806427571652,1
3649,2332,1.252762968495368,1
3707,2783,3.9318256327243257,1
3788,670,2.0412203288596382,1
