src_id,dst_id,weight,shared_controller_cnt
0,2319,1.0,1
0,2332,1.0,1
0,2356,1.0,1
1,796,1.0,1
8,2163,1.0,1
8,3233,1.0,1
13,1772,1.0,1
13,2318,1.0,1
13,3440,1.0,1
13,3510,1.0,1
14,1585,1.0,1
14,3244,1.0,1
15,1555,1.0,1
28,2715,1.0,1
29,2018,1.0,1
29,2301,1.0,1
34,689,1.0,1
34,2214,1.0,1
34,2547,1.0,1
40,1807,1.0,1
40,1925,1.0,1
40,3757,1.0,1
41,170,1.0,1
43,2669,1.0,1
48,50,1.0,1
48,93,1.0,1
48,94,1.0,1
48,95,1.0,1
48,96,1.0,1
48,136,1.0,1
48,157,1.0,1
48,169,1.0,1
48,183,1.0,1
48,187,1.0,1
48,191,1.0,1
48,666,1.0,1
48,683,1.0,1
48,772,1.0,1
48,775,1.0,1
48,784,1.0,1
48,817,1.0,1
48,820,1.0,1
48,834,1.0,1
48,852,1.0,1
48,861,1.0,1
48,887,1.0,1
48,935,1.0,1
48,944,1.0,1
48,959,1.0,1
48,1120,1.0,1
48,1134,1.0,1
48,1142,1.0,1
48,1171,1.0,1
48,1192,1.0,1
48,1201,1.0,1
48,1262,1.0,1
48,1269,1.0,1
48,1272,1.0,1
48,1292,1.0,1
48,1531,1.0,1
48,1581,1.0,1
48,1690,1.0,1
48,1915,1.0,1
48,1992,1.0,1
48,2147,1.0,1
48,2151,1.0,1
48,2155,1.0,1
48,2184,1.0,1
48,2198,1.0,1
48,2208,1.0,1
48,2212,1.0,1
48,2228,1.0,1
48,2241,1.0,1
48,2283,1.0,1
48,2289,1.0,1
48,2297,1.0,1
48,2308,1.0,1
48,2309,1.0,1
48,2313,1.0,1
48,2315,1.0,1
48,2348,1.0,1
48,2350,1.0,1
48,2352,1.0,1
48,2353,1.0,1
48,2467,1.0,1
48,2469,1.0,1
48,3075,1.0,1
48,3173,1.0,1
48,3181,1.0,1
48,3198,1.0,1
48,3231,1.0,1
48,3283,1.0,1
48,3314,1.0,1
48,3325,1.0,1
48,3393,1.0,1
48,3404,1.0,1
48,3412,1.0,1
48,3425,1.0,1
48,3432,1.0,1
48,3438,1.0,1
48,3465,1.0,1
48,3613,1.0,1
48,3691,1.0,1
50,48,1.0,1
50,93,1.0,1
50,94,1.0,1
50,95,1.0,1
50,96,1.0,1
50,136,1.0,1
50,157,1.0,1
50,169,1.0,1
50,183,1.0,1
50,187,1.0,1
50,191,1.0,1
50,666,1.0,1
50,683,1.0,1
50,772,1.0,1
50,775,1.0,1
50,784,1.0,1
50,817,1.0,1
50,820,1.0,1
50,834,1.0,1
50,852,1.0,1
50,861,1.0,1
50,887,1.0,1
50,935,1.0,1
50,944,1.0,1
50,959,1.0,1
50,1120,1.0,1
50,1134,1.0,1
50,1142,1.0,1
50,1171,1.0,1
50,1192,1.0,1
50,1201,1.0,1
50,1262,1.0,1
50,1269,1.0,1
50,1272,1.0,1
