src_id,dst_id,weight,equity_link_cnt
1,796,2.1878,4
1,3210,1.0,1
41,170,0.1605,1
50,852,1.5505,2
94,96,1.5846,4
96,94,1.5846,4
96,2331,1.5536,3
117,3900,0.3439,1
121,1865,0.4265,3
164,1871,0.2726,2
170,41,0.1605,1
183,3435,1.0,1
183,3445,0.41550000000000004,3
190,1983,2.2562,5
204,3416,0.9950249999999999,1
208,2599,0.05,5
212,2589,0.6267,3
265,667,0.01,1
375,2786,0.7382,1
465,2613,0.07,7
508,2420,0.0955,2
529,986,0.5641,3
667,265,0.01,1
670,3788,0.28309999999999996,1
796,1,2.1878,4
806,1508,0.01,1
817,2315,1.5942,2
817,3588,0.1352,2
852,50,1.5505,2
869,3433,0.5844,2
986,529,0.5641,3
1021,2759,1.0986,2
1086,3409,0.02,2
1094,1328,0.050199999999999995,1
1124,2221,0.04,4
1139,2146,0.7621,6
1292,2328,0.6328,3
1328,1094,0.050199999999999995,1
1402,3816,0.6812,5
1496,3551,1.5316999999999998,5
1508,806,0.01,1
1855,2225,0.02,2
1865,121,0.4265,3
1871,164,0.2726,2
1959,2172,0.01,1
1983,190,2.2562,5
2074,2197,0.01,1
2146,1139,0.7621,6
2146,2148,0.9285,4
2148,2146,0.9285,4
2161,2209,0.34400000000000003,4
2172,1959,0.01,1
2185,2189,1.6115,2
2189,2185,1.6115,2
2197,2074,0.01,1
2209,2161,0.34400000000000003,4
2209,2631,2.01,3
2221,1124,0.04,4
2225,1855,0.02,2
2228,3360,0.5487,4
2260,3094,2.0,2
2265,2490,0.02,2
2301,3107,2.0,2
2310,2347,1.0,1
2315,817,1.5942,2
2317,2323,0.01,1
2323,2317,0.01,1
2328,1292,0.6328,3
2331,96,1.5536,3
2336,3061,0.01,1
2347,2310,1.0,1
2377,3867,1.1636,2
2420,508,0.0955,2
2475,2902,0.02,2
2490,2265,0.02,2
2495,3734,0.7129000000000001,10
2589,212,0.6267,3
2599,208,0.05,5
2613,465,0.07,7
2631,2209,2.01,3
2759,1021,1.0986,2
2786,375,0.7382,1
2902,2475,0.02,2
3061,2336,0.01,1
3094,2260,2.0,2
3107,2301,2.0,2
3179,3492,0.02,2
3210,1,1.0,1
3217,3530,0.01,1
3360,2228,0.5487,4
3409,1086,0.02,2
3416,204,0.9950249999999999,1
3433,869,0.5844,2
3435,183,1.0,1
3445,183,0.41550000000000004,3
3471,3768,0.01,1
3492,3179,0.02,2
3530,3217,0.01,1
3551,1496,1.5316999999999998,5
3588,817,0.1352,2
3734,2495,0.7129000000000001,10
3768,3471,0.01,1
3788,670,0.28309999999999996,1
3816,1402,0.6812,5
3867,2377,1.1636,2
3900,117,0.3439,1
