src_id,dst_id,weight,corr_raw,common_days,market_link_cnt
0,440,0.7833678126335144,0.7833678126335144,242,1
0,500,0.7850421667098999,0.7850421667098999,242,1
0,556,0.7547538876533508,0.7547538876533508,242,1
0,2154,0.7728506922721863,0.7728506922721863,242,1
0,2157,0.8156885504722595,0.8156885504722595,242,1
0,2209,0.7722364664077759,0.7722364664077759,242,1
0,2231,0.7732505798339844,0.7732505798339844,242,1
0,2235,0.8253499865531921,0.8253499865531921,242,1
0,2265,0.7751294374465942,0.7751294374465942,242,1
0,2301,0.751752495765686,0.751752495765686,242,1
1,140,0.5121841430664062,0.5121841430664062,242,1
1,276,0.6159839034080505,0.6159839034080505,242,1
1,339,0.49956369400024414,0.49956369400024414,242,1
1,444,0.47207239270210266,0.47207239270210266,242,1
1,1627,0.5716243982315063,0.5716243982315063,242,1
1,1644,0.5007676482200623,0.5007676482200623,242,1
1,2294,0.5040698051452637,0.5040698051452637,242,1
1,2677,0.46890872716903687,0.46890872716903687,242,1
1,2838,0.5195083618164062,0.5195083618164062,242,1
1,2847,0.5049042105674744,0.5049042105674744,238,1
2,334,0.6732218861579895,0.6732218861579895,242,1
2,479,0.5990842580795288,0.5990842580795288,242,1
2,596,0.5962879061698914,0.5962879061698914,242,1
2,726,0.6045002937316895,0.6045002937316895,242,1
2,1244,0.4952493906021118,0.4952493906021118,242,1
2,1497,0.44931697845458984,0.44931697845458984,242,1
2,1695,0.5127890706062317,0.5127890706062317,242,1
2,2676,0.515132486820221,0.515132486820221,242,1
2,2737,0.6119040846824646,0.6119040846824646,242,1
2,3029,0.6179940700531006,0.6179940700531006,242,1
3,765,0.5208300352096558,0.5208300352096558,242,1
3,1068,0.5289013385772705,0.5289013385772705,242,1
3,1632,0.5119154453277588,0.5119154453277588,242,1
3,1655,0.5540257692337036,0.5540257692337036,242,1
3,1660,0.5302232503890991,0.5302232503890991,242,1
3,2477,0.5320831537246704,0.5320831537246704,171,1
3,2572,0.5526469945907593,0.5526469945907593,87,1
3,3386,0.5074518918991089,0.5074518918991089,242,1
3,3513,0.6111516356468201,0.6111516356468201,89,1
3,3611,0.5484538674354553,0.5484538674354553,242,1
4,108,0.5427154898643494,0.5427154898643494,242,1
4,146,0.500968337059021,0.500968337059021,242,1
4,154,0.4930303692817688,0.4930303692817688,242,1
4,266,0.49676182866096497,0.49676182866096497,242,1
4,739,0.5123553276062012,0.5123553276062012,242,1
4,1223,0.49568837881088257,0.49568837881088257,242,1
4,1507,0.4884513318538666,0.4884513318538666,242,1
4,2238,0.49143731594085693,0.49143731594085693,242,1
4,2266,0.5300067067146301,0.5300067067146301,242,1
4,2457,0.4991926848888397,0.4991926848888397,242,1
5,24,0.39794570207595825,0.39794570207595825,242,1
5,159,0.40660759806632996,0.40660759806632996,242,1
5,237,0.3987741768360138,0.3987741768360138,242,1
5,260,0.42433300614356995,0.42433300614356995,242,1
5,516,0.4106702208518982,0.4106702208518982,242,1
5,1876,0.43734341859817505,0.43734341859817505,128,1
5,2352,0.39880937337875366,0.39880937337875366,242,1
5,2531,0.4171433746814728,0.4171433746814728,242,1
5,2830,0.4000501036643982,0.4000501036643982,242,1
5,2843,0.43947067856788635,0.43947067856788635,242,1
6,19,0.5190134048461914,0.5190134048461914,242,1
6,254,0.5379009246826172,0.5379009246826172,242,1
6,592,0.5314317345619202,0.5314317345619202,242,1
6,1400,0.5326396226882935,0.5326396226882935,242,1
6,1415,0.5094068646430969,0.5094068646430969,242,1
6,1583,0.5555498600006104,0.5555498600006104,242,1
6,1778,0.554559588432312,0.554559588432312,242,1
6,2024,0.5373145341873169,0.5373145341873169,242,1
6,2955,0.5376407504081726,0.5376407504081726,242,1
6,3056,0.5399544835090637,0.5399544835090637,242,1
7,647,0.39508238434791565,0.39508238434791565,242,1
7,660,0.4033527970314026,0.4033527970314026,242,1
7,2074,0.39649686217308044,0.39649686217308044,109,1
7,2080,0.38006794452667236,0.38006794452667236,91,1
7,2090,0.3727606534957886,0.3727606534957886,90,1
7,2852,0.3790391683578491,0.3790391683578491,242,1
7,3246,0.37539273500442505,0.37539273500442505,242,1
7,3360,0.39303845167160034,0.39303845167160034,131,1
7,3523,0.41018444299697876,0.41018444299697876,242,1
7,3554,0.3859747648239136,0.3859747648239136,127,1
8,266,0.5412949919700623,0.5412949919700623,242,1
8,373,0.48891252279281616,0.48891252279281616,242,1
8,788,0.5626732110977173,0.5626732110977173,242,1
8,962,0.4844147562980652,0.4844147562980652,242,1
8,1012,0.507919430732727,0.507919430732727,242,1
8,2238,0.4883350133895874,0.4883350133895874,242,1
8,2291,0.49274927377700806,0.49274927377700806,242,1
8,2305,0.5373935699462891,0.5373935699462891,242,1
8,2714,0.4725702106952667,0.4725702106952667,242,1
8,2892,0.5022873878479004,0.5022873878479004,242,1
9,172,0.5269798636436462,0.5269798636436462,242,1
9,454,0.5483827590942383,0.5483827590942383,242,1
9,525,0.5057989954948425,0.5057989954948425,242,1
9,592,0.5307430028915405,0.5307430028915405,242,1
9,1076,0.5307756662368774,0.5307756662368774,242,1
9,1383,0.5309728384017944,0.5309728384017944,242,1
9,1457,0.49227702617645264,0.49227702617645264,242,1
9,1553,0.4963625967502594,0.4963625967502594,242,1
9,2688,0.5241481065750122,0.5241481065750122,242,1
9,2955,0.5906193256378174,0.5906193256378174,242,1
10,332,0.38710519671440125,0.38710519671440125,242,1
10,389,0.40156564116477966,0.40156564116477966,242,1
10,646,0.3999183773994446,0.3999183773994446,242,1
10,1082,0.43695205450057983,0.43695205450057983,242,1
10,1218,0.3731025457382202,0.3731025457382202,242,1
10,1384,0.38902685046195984,0.38902685046195984,242,1
10,2584,0.3680177628993988,0.3680177628993988,242,1
10,2756,0.3695695102214813,0.3695695102214813,242,1
10,2972,0.37882423400878906,0.37882423400878906,242,1
10,3368,0.36710304021835327,0.36710304021835327,99,1
11,592,0.6161340475082397,0.6161340475082397,242,1
11,760,0.631645143032074,0.631645143032074,242,1
11,1028,0.6044826507568359,0.6044826507568359,242,1
11,1068,0.6294904947280884,0.6294904947280884,242,1
11,1280,0.6266526579856873,0.6266526579856873,242,1
11,1383,0.6170634031295776,0.6170634031295776,242,1
11,1400,0.6278438568115234,0.6278438568115234,242,1
11,1778,0.6127187013626099,0.6127187013626099,242,1
11,2955,0.6009297966957092,0.6009297966957092,242,1
11,3151,0.6028311252593994,0.6028311252593994,242,1
12,265,0.53347247838974,0.53347247838974,242,1
12,764,0.534824013710022,0.534824013710022,242,1
12,1155,0.5390719771385193,0.5390719771385193,242,1
12,1353,0.5482041835784912,0.5482041835784912,242,1
