src_id,dst_id,weight,shared_nonlisted_target_cnt,shared_nonlisted_target_amt_sum
96,2222,1.0,1,0.0
105,1040,6.695798917058491,1,808.0
121,153,1.0,1,0.0
121,256,1.0,1,0.0
121,300,1.0,1,0.0
121,361,1.0,1,0.0
121,830,1.0,1,0.0
121,908,1.0,1,0.0
121,976,1.0,1,0.0
121,1004,1.0,1,0.0
121,1021,1.0,1,0.0
121,1040,1.0,1,0.0
121,1082,1.0,1,0.0
121,1108,1.0,1,0.0
121,2333,1.0,1,0.0
121,2584,1.0,1,0.0
121,2624,1.0,1,0.0
121,2625,1.0,1,0.0
121,2770,1.0,1,0.0
151,439,10.308985993422082,1,30000.0
151,1143,6.90875477931522,1,1000.0
153,121,1.0,1,0.0
153,199,7.409136443920128,1,1650.0
153,256,1.0,1,0.0
153,300,1.0,1,0.0
153,361,1.0,1,0.0
153,830,1.0,1,0.0
153,908,1.0,1,0.0
153,976,1.0,1,0.0
153,1004,1.0,1,0.0
153,1021,1.0,1,0.0
153,1040,1.0,1,0.0
153,1082,1.0,1,0.0
153,1108,1.0,1,0.0
153,2333,1.0,1,0.0
153,2584,1.0,1,0.0
153,2624,1.0,1,0.0
153,2625,1.0,1,0.0
153,2770,1.0,1,0.0
154,298,1.0,1,0.0
154,360,1.0,1,0.0
154,2236,1.0,1,0.0
154,2248,1.0,1,0.0
166,353,1.0,1,0.0
166,377,1.0,1,0.0
166,421,1.0,1,0.0
166,482,1.0,1,0.0
166,579,1.0,1,0.0
166,639,1.0,1,0.0
166,640,1.0,1,0.0
166,830,1.0,1,0.0
166,904,1.0,1,0.0
166,932,1.0,1,0.0
166,1009,1.0,1,0.0
166,1044,1.0,1,0.0
166,1120,1.0,1,0.0
166,1168,1.0,1,0.0
166,2182,1.0,1,0.0
166,2297,1.0,1,0.0
166,2425,1.0,1,0.0
166,2732,1.0,1,0.0
166,2861,1.0,1,0.0
175,544,8.77971129020447,1,6500.0
199,153,7.409136443920128,1,1650.0
224,334,1.0,1,0.0
224,1046,1.0,1,0.0
224,2236,1.0,1,0.0
224,2248,1.0,1,0.0
224,2493,1.0,1,0.0
256,121,1.0,1,0.0
256,153,1.0,1,0.0
256,300,1.0,1,0.0
256,361,1.0,1,0.0
256,830,1.0,1,0.0
256,908,1.0,1,0.0
256,976,1.0,1,0.0
256,1004,1.0,1,0.0
256,1021,1.0,1,0.0
256,1040,1.0,1,0.0
256,1082,1.0,1,0.0
256,1108,1.0,1,0.0
256,2333,1.0,1,0.0
256,2584,1.0,1,0.0
256,2624,1.0,1,0.0
256,2625,1.0,1,0.0
256,2770,1.0,1,0.0
288,830,8.290751707896936,1,3985.83
288,1488,1.0,1,0.0
288,2333,8.290751707896936,1,3985.83
298,154,1.0,1,0.0
298,360,11.151510734540933,1,69668.0
298,2236,1.0,1,0.0
298,2248,1.0,1,0.0
300,121,1.0,1,0.0
300,153,1.0,1,0.0
300,256,1.0,1,0.0
300,361,1.0,1,0.0
300,830,1.0,1,0.0
300,908,1.0,1,0.0
300,976,1.0,1,0.0
300,1004,1.0,1,0.0
300,1021,1.0,1,0.0
300,1040,1.0,1,0.0
300,1082,1.0,1,0.0
300,1108,1.0,1,0.0
300,2333,1.0,1,0.0
300,2584,1.0,1,0.0
300,2624,1.0,1,0.0
300,2625,1.0,1,0.0
300,2770,1.0,1,0.0
334,224,1.0,1,0.0
334,1046,1.0,1,0.0
334,2236,1.0,1,0.0
334,2248,1.0,1,0.0
334,2493,1.0,1,0.0
353,166,1.0,1,0.0
353,377,1.0,1,0.0
353,421,1.0,1,0.0
353,482,1.0,1,0.0
353,579,1.0,1,0.0
353,639,1.0,1,0.0
353,640,1.0,1,0.0
353,830,1.0,1,0.0
353,904,1.0,1,0.0
353,932,1.0,1,0.0
353,1009,1.0,1,0.0
353,1044,1.0,1,0.0
353,1120,1.0,1,0.0
353,1168,1.0,1,0.0
353,2182,1.0,1,0.0
353,2297,1.0,1,0.0
353,2425,1.0,1,0.0
353,2732,1.0,1,0.0
353,2861,1.0,1,0.0
360,154,1.0,1,0.0
360,298,11.151510734540933,1,69668.0
360,2236,1.0,1,0.0
360,2248,1.0,1,0.0
361,121,1.0,1,0.0
361,153,1.0,1,0.0
361,256,1.0,1,0.0
361,300,1.0,1,0.0
361,830,1.0,1,0.0
