src_id,dst_id,weight,equity_change_link_cnt
97,2172,2.075684492802124,1
153,834,4.598449653715623,3
268,903,2.302585092994046,1
464,2343,2.302585092994046,1
502,2332,3.4657359027997265,1
834,153,4.598449653715623,3
841,2343,7.01301578963963,2
903,268,2.302585092994046,1
1103,2301,0.9669838461896731,1
2172,97,2.075684492802124,1
2182,2240,3.1730412885244013,2
2240,2182,3.1730412885244013,2
2301,1103,0.9669838461896731,1
2332,502,3.4657359027997265,1
2343,464,2.302585092994046,1
2343,841,7.01301578963963,2
2367,2847,3.1780538303479458,1
2847,2367,3.1780538303479458,1
