src_id,dst_id,weight,shared_controller_cnt
0,2319,1.0,1
0,2332,1.0,1
93,95,2.0,2
93,96,2.0,2
93,136,1.0,1
93,157,1.0,1
93,169,1.0,1
93,187,1.0,1
93,191,1.0,1
93,683,1.0,1
93,820,1.0,1
93,852,1.0,1
93,861,1.0,1
93,887,1.0,1
93,959,1.0,1
93,1192,1.0,1
93,1201,1.0,1
93,1272,1.0,1
93,1301,1.0,1
93,2147,1.0,1
93,2184,1.0,1
93,2192,1.0,1
93,2198,1.0,1
93,2208,1.0,1
93,2212,1.0,1
93,2228,1.0,1
93,2241,1.0,1
93,2283,2.0,2
93,2289,1.0,1
93,2297,1.0,1
93,2308,1.0,1
93,2313,1.0,1
93,2315,1.0,1
93,2348,1.0,1
93,2352,2.0,2
93,2353,1.0,1
93,2467,1.0,1
95,93,2.0,2
95,96,2.0,2
95,136,1.0,1
95,157,1.0,1
95,169,1.0,1
95,187,1.0,1
95,191,1.0,1
95,683,1.0,1
95,820,1.0,1
95,852,1.0,1
95,861,1.0,1
95,887,1.0,1
95,959,1.0,1
95,1192,1.0,1
95,1201,1.0,1
95,1272,1.0,1
95,1301,1.0,1
95,2147,1.0,1
95,2184,1.0,1
95,2192,1.0,1
95,2198,1.0,1
95,2208,1.0,1
95,2212,1.0,1
95,2228,1.0,1
95,2241,1.0,1
95,2283,2.0,2
95,2289,1.0,1
95,2297,1.0,1
95,2308,1.0,1
95,2313,1.0,1
95,2315,1.0,1
95,2348,1.0,1
95,2352,2.0,2
95,2353,1.0,1
95,2467,1.0,1
96,93,2.0,2
96,95,2.0,2
96,136,1.0,1
96,157,1.0,1
96,169,1.0,1
96,187,1.0,1
96,191,1.0,1
96,683,1.0,1
96,820,1.0,1
96,852,1.0,1
96,861,1.0,1
96,887,1.0,1
96,959,1.0,1
96,1192,1.0,1
96,1201,1.0,1
96,1272,1.0,1
96,1301,1.0,1
96,2147,1.0,1
96,2184,1.0,1
96,2192,1.0,1
96,2198,1.0,1
96,2208,1.0,1
96,2212,1.0,1
96,2228,1.0,1
96,2241,1.0,1
96,2283,2.0,2
96,2289,1.0,1
96,2297,1.0,1
96,2308,1.0,1
96,2313,1.0,1
96,2315,1.0,1
96,2348,1.0,1
96,2352,2.0,2
96,2353,1.0,1
96,2467,1.0,1
108,1048,1.0,1
108,1268,1.0,1
125,1114,1.0,1
125,2714,1.0,1
136,93,1.0,1
136,95,1.0,1
136,96,1.0,1
136,157,1.0,1
136,169,1.0,1
136,183,1.0,1
136,187,1.0,1
136,191,1.0,1
136,311,1.0,1
136,683,2.0,2
136,820,1.0,1
136,852,1.0,1
136,861,1.0,1
136,887,1.0,1
136,959,1.0,1
136,1192,1.0,1
136,1201,1.0,1
136,1272,1.0,1
136,1301,1.0,1
136,2147,1.0,1
136,2184,1.0,1
136,2192,1.0,1
136,2198,1.0,1
136,2208,1.0,1
136,2212,1.0,1
136,2228,1.0,1
