src_id,dst_id,weight,equity_change_link_cnt
1,2356,1.6174060820832772,1
207,2197,4.251889475117375,2
291,2198,1.8304992975439855,1
386,2275,0.3386128011203239,2
500,955,0.7419373447293773,1
687,2336,5.019198524756744,2
798,2197,1.791759469228055,2
955,500,0.7419373447293773,1
990,2197,4.84428865610337,2
1081,2197,1.3661936894128877,2
1173,2197,0.6002091849006762,2
2197,207,4.251889475117375,2
2197,798,1.791759469228055,2
2197,990,4.84428865610337,2
2197,1081,1.3661936894128877,2
2197,1173,0.6002091849006762,2
2198,291,1.8304992975439855,1
2275,386,0.3386128011203239,2
2336,687,5.019198524756744,2
2356,1,1.6174060820832772,1
