src_id,dst_id,weight,shared_nonlisted_target_cnt,shared_nonlisted_target_amt_sum
166,224,1.0,1,0.0
166,809,1.0,1,0.0
177,279,1.0,1,0.0
177,360,1.0,1,0.0
177,485,1.0,1,0.0
177,885,1.0,1,0.0
177,1071,1.0,1,0.0
177,2299,1.0,1,0.0
224,166,1.0,1,0.0
224,374,1.0,1,0.0
224,383,8.242229891372231,1,3797.0
224,809,1.0,1,0.0
248,447,1.0,1,0.0
279,177,1.0,1,0.0
279,360,1.0,1,0.0
279,485,9.029414241122428,1,8343.97
279,885,1.0,1,0.0
279,1071,1.0,1,0.0
279,2239,1.0,1,0.0
279,2249,1.0,1,0.0
279,2299,1.0,1,0.0
285,2704,1.0,1,0.0
288,302,1.0,1,0.0
288,318,1.0,1,0.0
288,1040,1.0,1,0.0
288,1108,1.0,1,0.0
302,288,1.0,1,0.0
302,318,1.0,1,0.0
302,1040,1.0,1,0.0
302,1108,1.0,1,0.0
318,288,1.0,1,0.0
318,302,1.0,1,0.0
318,1040,1.0,1,0.0
318,1108,1.0,1,0.0
340,1116,7.313886831633462,1,1500.0
360,177,1.0,1,0.0
360,279,1.0,1,0.0
360,485,1.0,1,0.0
360,885,1.0,1,0.0
360,1071,1.0,1,0.0
360,2299,1.0,1,0.0
374,224,1.0,1,0.0
374,383,1.0,1,0.0
383,224,8.242229891372231,1,3797.0
383,374,1.0,1,0.0
447,248,1.0,1,0.0
485,177,1.0,1,0.0
485,279,9.029414241122428,1,8343.97
485,360,1.0,1,0.0
485,885,1.0,1,0.0
485,1071,1.0,1,0.0
485,2299,1.0,1,0.0
809,166,1.0,1,0.0
809,224,1.0,1,0.0
885,177,1.0,1,0.0
885,279,1.0,1,0.0
885,360,1.0,1,0.0
885,485,1.0,1,0.0
885,1071,1.0,1,0.0
885,2299,1.0,1,0.0
1040,288,1.0,1,0.0
1040,302,1.0,1,0.0
1040,318,1.0,1,0.0
1040,1108,1.0,1,0.0
1071,177,1.0,1,0.0
1071,279,1.0,1,0.0
1071,360,1.0,1,0.0
1071,485,1.0,1,0.0
1071,885,1.0,1,0.0
1071,2299,1.0,1,0.0
1071,2469,7.601402334583733,1,2000.0
1108,288,1.0,1,0.0
1108,302,1.0,1,0.0
1108,318,1.0,1,0.0
1108,1040,1.0,1,0.0
1116,340,7.313886831633462,1,1500.0
2239,279,1.0,1,0.0
2249,279,1.0,1,0.0
2299,177,1.0,1,0.0
2299,279,1.0,1,0.0
2299,360,1.0,1,0.0
2299,485,1.0,1,0.0
2299,885,1.0,1,0.0
2299,1071,1.0,1,0.0
2469,1071,7.601402334583733,1,2000.0
2704,285,1.0,1,0.0
