src_stkcd,year,guar_event_cnt,guar_amt_sum,guar_amt_mean,guar_listed_target_cnt,guar_nonlisted_target_cnt,guar_listed_target_ratio
001326,2024,5,2755.0,551.0,0,5,0.0
001330,2023,38,338136.9,9661.054285714286,0,38,0.0
001330,2024,40,129625.96,3503.4043243243245,0,40,0.0
001336,2024,1,300.0,300.0,0,1,0.0
001338,2023,2,7025.77,3512.885,0,2,0.0
001338,2024,2,5803.2,2901.6,0,2,0.0
001339,2023,2,26925.16,13462.58,0,2,0.0
001358,2023,1,1491.44,1491.44,0,1,0.0
001359,2024,4,13000.0,3250.0,0,4,0.0
001360,2023,4,1837.95,459.4875,0,4,0.0
001360,2024,6,2905.91,484.3183333333333,0,6,0.0
001366,2022,2,15831.52,7915.76,0,2,0.0
001366,2024,12,470.0,39.166666666666664,0,12,0.0
001368,2022,4,8740.0,2185.0,0,4,0.0
001368,2023,2,4500.0,2250.0,0,2,0.0
001376,2019,3,23308.8,7769.599999999999,0,3,0.0
001376,2020,3,11149.48,3716.4933333333333,0,3,0.0
001376,2021,2,11482.130000000001,5741.0650000000005,0,2,0.0
001376,2022,15,22443.34,1496.2226666666668,0,15,0.0
001376,2023,11,22120.0,2010.909090909091,0,11,0.0
001378,2024,5,45770.0,9154.0,0,5,0.0
001389,2021,1,7000.0,7000.0,0,1,0.0
001389,2022,4,8617.36,2154.34,0,4,0.0
001389,2023,1,8306.43,8306.43,0,1,0.0
001872,2013,1,7665.57,7665.57,0,1,0.0
001872,2016,2,4838.558,2419.279,0,2,0.0
001872,2019,36,2401202.605269,104400.11327256521,0,36,0.0
001872,2020,44,2631298.003348,105251.92013392,0,44,0.0
001872,2021,36,2584148.67,123054.69857142857,0,36,0.0
001872,2022,30,2609106.16,108712.75666666667,0,30,0.0
001872,2023,35,3014655.19,131071.96478260869,0,35,0.0
001872,2024,28,2580150.88,151773.5811764706,0,28,0.0
001914,2015,1,20750.0,20750.0,0,1,0.0
001914,2017,2,54475.0,27237.5,0,2,0.0
001914,2019,4,35000.0,8750.0,0,4,0.0
001914,2020,16,110225.0,10020.454545454546,0,16,0.0
001914,2021,14,67750.0,7527.777777777777,0,14,0.0
001914,2022,6,53750.0,8958.333333333334,0,6,0.0
001914,2023,7,15000.0,2500.0,0,7,0.0
001914,2024,4,10000.0,3333.3333333333335,0,4,0.0
001965,2014,1,5000.0,5000.0,0,1,0.0
001965,2015,27,991326.73,36715.804814814815,0,27,0.0
001965,2016,51,197772.38,3877.8898039215687,0,51,0.0
001965,2017,103,211615.3,2181.601030927835,0,103,0.0
001965,2018,128,342623.41,2808.388606557377,0,128,0.0
001965,2019,119,74674.13,786.0434736842105,0,119,0.0
001965,2020,148,539851.18,4184.8928682170545,0,148,0.0
001965,2021,167,199808.06,1203.6630120481927,0,167,0.0
001965,2022,63,123006.63,1952.4861904761906,0,63,0.0
001965,2023,68,240531.96,3537.234705882353,0,68,0.0
001979,2016,64,2583305.19,67981.71552631579,0,64,0.0
001979,2017,69,1534315.28,45126.92,0,69,0.0
001979,2018,128,2344561.818586,41867.17533189285,0,128,0.0
001979,2019,150,2333235.900995,51849.68668877777,0,150,0.0
001979,2020,211,2224467.249751,61790.75693752778,0,211,0.0
001979,2021,76,2277516.782279,49511.23439736957,0,76,0.0
001979,2022,24,1510970.759661,62957.114985875,0,24,0.0
001979,2023,11,1495295.330763,135935.93916027274,0,11,0.0
001979,2024,9,1233489.0,137054.33333333334,0,9,0.0
002329,2009,1,500.0,500.0,0,1,0.0
002329,2012,2,0.0,0.0,0,2,0.0
002329,2013,11,321.0,35.666666666666664,0,11,0.0
002329,2014,7,89.0,17.8,0,7,0.0
002329,2015,20,27576.0,1838.4,0,20,0.0
002329,2016,31,38772.0,1615.5,0,31,0.0
002329,2017,53,73908.0,1642.4,0,53,0.0
002329,2018,22,71913.38,4230.198823529412,0,22,0.0
002329,2019,14,74304.2,6754.927272727273,0,14,0.0
002329,2020,28,86681.12,6191.5085714285715,0,28,0.0
002329,2021,24,95501.98,4775.099,0,24,0.0
002329,2022,35,139025.5,4484.693548387097,0,35,0.0
002329,2023,37,158163.01,4792.818484848485,0,37,0.0
002329,2024,59,170547.48,3707.5539130434786,0,59,0.0
002330,2020,2,0.0,0.0,0,2,0.0
002330,2021,2,0.0,0.0,0,2,0.0
002330,2022,1,256.0,256.0,0,1,0.0
002330,2023,9,25896.84,3237.105,0,9,0.0
002330,2024,11,24062.0,3007.75,0,11,0.0
002331,2012,1,0.0,0.0,0,1,0.0
002331,2013,1,0.0,0.0,0,1,0.0
002331,2014,4,6590.0,2196.6666666666665,0,4,0.0
002331,2015,9,9610.0,1601.6666666666667,0,9,0.0
002331,2016,4,3315.0,1657.5,0,4,0.0
002331,2017,9,8925.0,1487.5,0,9,0.0
002331,2018,6,8925.0,1487.5,0,6,0.0
002331,2019,6,16660.0,2776.6666666666665,0,6,0.0
002331,2020,2,3315.0,3315.0,0,2,0.0
002331,2021,3,6375.0,3187.5,0,3,0.0
002331,2022,4,6720.0,1680.0,0,4,0.0
002331,2023,4,7470.0,1867.5,0,4,0.0
002331,2024,2,612.0,306.0,0,2,0.0
002332,2007,2,1006.6,503.3,0,2,0.0
002332,2009,21,68412.07,3257.7176190476193,0,21,0.0
002332,2010,36,105810.0,3306.5625,0,36,0.0
002332,2011,34,65603.63,2186.7876666666666,0,34,0.0
002332,2012,49,91611.6,1949.1829787234044,0,49,0.0
002332,2013,42,69518.62,1782.528717948718,0,42,0.0
002332,2014,39,73978.75,1999.4256756756756,0,39,0.0
002332,2015,37,61593.54,1811.5747058823529,0,37,0.0
002332,2016,33,38684.2,1247.8774193548386,0,33,0.0
002332,2017,52,321769.83,6846.166595744681,0,52,0.0
002332,2018,24,14303.0,650.1363636363636,0,24,0.0
002332,2019,21,16757.0,797.952380952381,0,21,0.0
002332,2020,15,14775.6,1136.5846153846155,0,15,0.0
002332,2021,14,12542.1,964.7769230769231,0,14,0.0
002332,2022,13,5791.71,445.5161538461538,0,13,0.0
002332,2023,10,3883.64,485.455,0,10,0.0
002334,2016,2,8000.0,4000.0,0,2,0.0
002334,2017,8,35500.0,4437.5,0,8,0.0
002334,2018,8,22500.0,4500.0,0,8,0.0
002334,2019,21,34500.0,3450.0,0,21,0.0
002334,2020,27,98773.14,7055.2242857142855,0,27,0.0
002334,2021,9,11163.14,1860.5233333333333,0,9,0.0
002334,2022,14,18584.1,2323.0125,0,14,0.0
002334,2023,25,27046.45,1352.3225,0,25,0.0
002334,2024,23,28806.2,1371.7238095238095,0,23,0.0
002335,2009,1,493.558592,493.558592,0,1,0.0
002335,2010,1,0.0,0.0,0,1,0.0
002335,2011,1,300.133525,300.133525,0,1,0.0
002335,2014,3,1853.62,1853.62,0,3,0.0
002335,2015,31,165407.83,5703.718275862068,0,31,0.0
002335,2016,23,42745.05,2035.4785714285715,0,23,0.0
002335,2017,49,81488.81,2809.9589655172413,0,49,0.0
002335,2018,49,277132.9,12049.256521739131,0,49,0.0
002335,2019,31,132071.72999999998,16508.966249999998,0,31,0.0
002335,2020,31,162659.99,13554.999166666666,0,31,0.0
002335,2021,8,90892.93,12984.704285714284,0,8,0.0
002335,2022,11,85697.01,9521.89,0,11,0.0
002335,2023,7,77622.38,11088.91142857143,0,7,0.0
002335,2024,9,68967.69,8620.96125,0,9,0.0
002336,2011,1,0.0,0.0,0,1,0.0
002336,2012,1,0.0,0.0,0,1,0.0
002336,2013,1,0.0,0.0,0,1,0.0
002336,2014,1,5000.0,5000.0,0,1,0.0
002336,2015,1,5000.0,5000.0,0,1,0.0
002336,2019,3,0.0,0.0,0,3,0.0
002336,2020,3,27363.92,9121.306666666665,0,3,0.0
002337,2010,1,3000.0,3000.0,0,1,0.0
002337,2011,3,9737.5,3245.8333333333335,0,3,0.0
002337,2012,3,9737.5,3245.8333333333335,0,3,0.0
002337,2013,3,9737.5,3245.8333333333335,0,3,0.0
002337,2014,6,20049.559999999998,4009.9119999999994,0,6,0.0
002337,2015,10,27060.559999999998,3865.7942857142853,0,10,0.0
002337,2016,7,22060.5,3676.75,0,7,0.0
002337,2017,9,23279.53,3325.6471428571426,0,9,0.0
002337,2018,8,22060.559999999998,3676.7599999999998,0,8,0.0
002337,2019,7,12323.06,4107.6866666666665,0,7,0.0
002337,2020,4,0.0,0.0,0,4,0.0
002337,2021,2,0.0,0.0,0,2,0.0
002337,2022,4,2000.0,1000.0,0,4,0.0
002337,2023,2,1000.0,1000.0,0,2,0.0
002337,2024,1,1000.0,1000.0,0,1,0.0
002339,2010,3,2200.0,733.3333333333334,0,3,0.0
002339,2016,1,0.0,0.0,0,1,0.0
002339,2017,2,500.0,500.0,0,2,0.0
002339,2018,10,2825.0,282.5,0,10,0.0
002339,2019,6,3932.8117270000002,786.5623454,0,6,0.0
002339,2020,21,10515.623454,657.226465875,0,21,0.0
