src_stkcd,dst_stkcd,dst_name,event_date,EndDate,ActualGuaranteeAmount,GuaranteeTypeID,CurrencyCode,is_listed_target,year
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-30,2023-06-30,609.375,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2021-09-09,2022-09-08,5000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-09,2022-12-30,1875.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-21,2024-12-30,3187.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2023-12-30,2225.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2023-06-30,375.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-21,2022-12-30,3187.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-31,2022-12-30,1875.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2023-06-30,687.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2022-06-30,312.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2022-04-11,,10000.0,P7912,CNY,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-08,2025-07-30,5437.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-30,2022-06-30,609.375,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-04,2023-12-30,3750.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2022-06-30,375.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2025-03-30,687.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-30,2023-12-30,6915.625,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2025-07-30,5625.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-08,2024-06-30,362.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2022-04-11,,20000.0,P7912,CNY,True,2022
